,Cluster_ID,Index,Title,Authors,DOI,Abstract
10,6,6,Immune checkpoint inhibitors in liver transplant: a case series,"Rudolph, M; Shah, SA; Quillin, R; Lemon, K; Olowokure, O; Latif, T; Sohal, D",10.21037/jgo-22-922,"Background: Immune checkpoint inhibitors (ICIs) in the setting of liver transplant (LT) pose a risk of rejection and hold unclear benefit in both the neoadjuvant (pre-transplant) and post-transplant salvage setting. In the pre-transplant setting, neoadjuvant ICIs may serve as a bridge to LT by downstaging disease burden to fit within transplant criteria. Outcomes in this setting include patients who had successful transplants without complications to patients who suffered severe complications, including fatal hepatic necrosis and graft failure requiring re-transplant. Some authors suggest having a period of three months between checkpoint inhibition and transplant may help mitigate adverse effects. In the post-LT setting, there are few treatment options if there is a recurrence of disease, which forces treatment teams to reconsider checkpoint inhibitors. Again, a longer period of time between transplant and checkpoint inhibition may reduce risk of rejection. Case reports of patients treated with ICIs post-transplant utilized either nivolumab or pembrolizumab. As combination atezolizumab/bevacizumab is a relatively new treatment option for unresectable hepatocellular carcinoma (HCC), there are only three reported cases using this combination in the post-LT setting. While there were no cases of rejection, all three cases had progression of disease. As immunotherapy joins transplantation as a mainstay of treatment for HCC, it remains unclear how to best navigate when the treatment course involves both immune activation and immunosuppression.Case Description: Patients who had an LT and were treated with ICIs (pre or post LT) at the University of Cincinnati were included in this retrospective chart review.Conclusions: Fatal rejection remains a significant risk even 4 years after LT. Neoadjuvant ICIs also pose a risk for acute cellular rejection; however, this may not always be clinically significant. Graft versus host disease (GVHD) may be an additional, previously unreported risk of ICIs in the setting of LT. Prospective studies are needed to understand benefits and risks of checkpoint inhibitors in the LT setting."
11,6,170,Immune checkpoint inhibitors in liver transplant: a case series.,Rudolph M; Shah SA; Quillin R; Lemon K; Olowokure O; Latif T; Sohal D,10.21037/jgo-22-922,"BACKGROUND: Immune checkpoint inhibitors (ICIs) in the setting of liver transplant (LT) pose a risk of rejection and hold unclear benefit in both the neoadjuvant (pre-transplant) and post-transplant salvage setting. In the pre-transplant setting, neoadjuvant ICIs may serve as a bridge to LT by downstaging disease burden to fit within transplant criteria. Outcomes in this setting include patients who had successful transplants without complications to patients who suffered severe complications, including fatal hepatic necrosis and graft failure requiring re-transplant. Some authors suggest having a period of three months between checkpoint inhibition and transplant may help mitigate adverse effects. In the post-LT setting, there are few treatment options if there is a recurrence of disease, which forces treatment teams to reconsider checkpoint inhibitors. Again, a longer period of time between transplant and checkpoint inhibition may reduce risk of rejection. Case reports of patients treated with ICIs post-transplant utilized either nivolumab or pembrolizumab. As combination atezolizumab/bevacizumab is a relatively new treatment option for unresectable hepatocellular carcinoma (HCC), there are only three reported cases using this combination in the post-LT setting. While there were no cases of rejection, all three cases had progression of disease. As immunotherapy joins transplantation as a mainstay of treatment for HCC, it remains unclear how to best navigate when the treatment course involves both immune activation and immunosuppression. CASE DESCRIPTION: Patients who had an LT and were treated with ICIs (pre or post LT) at the University of Cincinnati were included in this retrospective chart review. CONCLUSIONS: Fatal rejection remains a significant risk even 4 years after LT. Neoadjuvant ICIs also pose a risk for acute cellular rejection; however, this may not always be clinically significant. Graft versus host disease (GVHD) may be an additional, previously unreported risk of ICIs in the setting of LT. Prospective studies are needed to understand benefits and risks of checkpoint inhibitors in the LT setting."
12,8,8,Atezolizumab plus bevacizumab as a downstaging therapy for liver transplantation in hepatocellular carcinoma with portal vein thrombosis: The first report,"Kumar, P; Krishna, P; Nidoni, R; Adarsh, CK; Arun, MG; Shetty, A; Mathangi, J; Sandhya; Gopasetty, M; Venugopal, B",10.1016/j.ajt.2024.01.007,"Atezolizumab plus bevacizumab is the preferred first-line treatment regimen for patients with advanced hepatocellular carcinoma. Limited data have shown promising results with the use of immune checkpoint inhibitors like nivolumab to downstage these patients for liver transplantation (LT). Here, we describe the first case of successful downstaging with atezolizumab plus bevacizumab in a patient with multifocal hepatocellular carcinoma and main portal vein tumoral thrombosis, followed by ABO-incompatible live donor LT. This illustrated case highlights that atezolizumab plus bevacizumab therapy may be a potential bridging tool for curative LT."
13,8,211,Atezolizumab plus bevacizumab as a downstaging therapy for liver transplantation in hepatocellular carcinoma with portal vein thrombosis: The first report.,Kumar P; Krishna P; Nidoni R; Adarsh CK; Arun MG; Shetty A; Mathangi J; Sandhya; Gopasetty M; Venugopal B,10.1016/j.ajt.2024.01.007,"Atezolizumab plus bevacizumab is the preferred first-line treatment regimen for patients with advanced hepatocellular carcinoma. Limited data have shown promising results with the use of immune checkpoint inhibitors like nivolumab to downstage these patients for liver transplantation (LT). Here, we describe the first case of successful downstaging with atezolizumab plus bevacizumab in a patient with multifocal hepatocellular carcinoma and main portal vein tumoral thrombosis, followed by ABO-incompatible live donor LT. This illustrated case highlights that atezolizumab plus bevacizumab therapy may be a potential bridging tool for curative LT. Transplant Surgeons. Published by Elsevier Inc. All rights reserved."
14,9,9,Long-lasting remission in a metastatic hepatocellular carcinoma patient after combined regorafenib therapy and surgery,"Goio, E; Ielasi, L; Benevento, F; Renzulli, M; Tovoli, F",10.2217/hep-2020-0014,"Aims: The therapeutic scenario of systemic treatments for hepatocellular carcinoma (HCC) is rapidly changing. There is much interest in the possibility of combining new therapies with surgery, but clinical data is lacking. We aimed to provide an example of such integration. Patients & methods: We report a patient with metastatic HCC who received regorafenib in the setting of the RESORCE trial. Results: A brilliant response led to a tumor downstaging and a subsequent adrenal metastasectomy with radical intent. Conclusions: New agents will change the therapeutic perspectives in advanced HCC and lead to a higher rate of objective responses, with possibilities of associating systemic therapy and surgery. Thus, the management of HCC will require more and more of an integrated, multidisciplinary and personalized approach."
15,9,239,Long-lasting remission in a metastatic hepatocellular carcinoma patient after combined regorafenib therapy and surgery.,Goio E; Ielasi L; Benevento F; Renzulli M; Tovoli F,10.2217/hep-2020-0014,"AIMS: The therapeutic scenario of systemic treatments for hepatocellular carcinoma (HCC) is rapidly changing. There is much interest in the possibility of combining new therapies with surgery, but clinical data is lacking. We aimed to provide an example of such integration. PATIENTS & METHODS: We report a patient with metastatic HCC who received regorafenib in the setting of the RESORCE trial. RESULTS: A brilliant response led to a tumor downstaging and a subsequent adrenal metastasectomy with radical intent. CONCLUSIONS: New agents will change the therapeutic perspectives in advanced HCC and lead to a higher rate of objective responses, with possibilities of associating systemic therapy and surgery. Thus, the management of HCC will require more and more of an integrated, multidisciplinary and personalized approach."
16,10,10,Liver Transplantation for Hepatocellular Carcinoma after Downstaging or Bridging Therapy with Immune Checkpoint Inhibitors,"Gao, QM; Anwar, IJ; Abraham, N; Barbas, AS",10.3390/cancers13246307,"Simple Summary Immune checkpoint inhibitors (ICI) have revolutionized the treatment of hepatocellular carcinoma (HCC). In addition to their role in advanced HCC, there is considerable interest in using ICIs in the neoadjuvant setting, either as a downstaging or bridging therapy, prior to potentially curative liver transplantation. In this article, we reviewed all the available literature on ICI use in this context. We postulate that ICIs may be utilized safely prior to liver transplant; however, further research is needed in this area. Liver transplantation offers excellent outcomes for patients with HCC. For those who initially present within the Milan criteria, bridging therapy is essential to control disease while awaiting liver transplant. For those who present beyond the Milan criteria, a liver transplant may still be considered following successful downstaging. Since the introduction of atezolizumab as part of the first-line treatment for HCC in 2020, there has been increasing interest in the use of ICIs as bridging or downstaging therapies prior to liver transplant. A total of six case reports/series have been published on this topic, with mixed outcomes. Overall, liver transplantation can be performed safely following prolonged ICI use, though ICIs may increase the risk of fulminant acute rejection early in the post-operative period. A minimal washout period between the last dose of ICI and liver transplantation has been identified as an important factor predicting transplant outcomes; however, further research is needed."
17,10,169,Liver Transplantation for Hepatocellular Carcinoma after Downstaging or Bridging Therapy with Immune Checkpoint Inhibitors.,Gao Q; Anwar IJ; Abraham N; Barbas AS,10.3390/cancers13246307,"Liver transplantation offers excellent outcomes for patients with HCC. For those who initially present within the Milan criteria, bridging therapy is essential to control disease while awaiting liver transplant. For those who present beyond the Milan criteria, a liver transplant may still be considered following successful downstaging. Since the introduction of atezolizumab as part of the first-line treatment for HCC in 2020, there has been increasing interest in the use of ICIs as bridging or downstaging therapies prior to liver transplant. A total of six case reports/series have been published on this topic, with mixed outcomes. Overall, liver transplantation can be performed safely following prolonged ICI use, though ICIs may increase the risk of fulminant acute rejection early in the post-operative period. A minimal washout period between the last dose of ICI and liver transplantation has been identified as an important factor predicting transplant outcomes; however, further research is needed."
18,11,11,Case Report: The application of associating liver partition and portal vein ligation for staged hepatectomy in patients with hepatitis b virus-related hepatocellular carcinoma after undergoing treatment with an immune checkpoint inhibitor: a report of two cases,"Ning, C; Liu, GM; Zhang, JW; Yang, XB; Xu, YY; Zhao, HT",10.3389/fimmu.2023.1159885,"Hepatocellular carcinoma (HCC) is often diagnosed at an unresectable stage without opportunities for curative therapy. Future liver remnant (FLR) insufficiency limits the range of patients who can undergo radical resection. Associating liver partition and portal vein ligation for staged hepatectomy (ALPPS) can ultimately achieve short-term hypertrophy of the FLR in patients with viral hepatitis-related fibrosis/cirrhosis and R0 resection. However, the influence of immune checkpoint inhibitors (ICIs) on liver regeneration remains unknown. We report two patients diagnosed with Barcelona Clinic Liver Cancer (BCLC)-B stage hepatitis B virus (HBV)-related HCC who underwent pioneering ALPPS after immunotherapy without posthepatectomy liver failure (PHLF). ALPPS has been shown to be safe and feasible in patients with HCC who underwent immunotherapy previously for the first time and might provide an alternative salvage option for future conversion therapy of HCC."
19,11,244,Case Report: The application of associating liver partition and portal vein ligation for staged hepatectomy in patients with hepatitis b virus-related hepatocellular carcinoma after undergoing treatment with an immune checkpoint inhibitor: a report of two cases.,Ning C; Liu G; Zhang J; Yang X; Xu Y; Zhao H,10.3389/fimmu.2023.1159885,"Hepatocellular carcinoma (HCC) is often diagnosed at an unresectable stage without opportunities for curative therapy. Future liver remnant (FLR) insufficiency limits the range of patients who can undergo radical resection. Associating liver partition and portal vein ligation for staged hepatectomy (ALPPS) can ultimately achieve short-term hypertrophy of the FLR in patients with viral hepatitis-related fibrosis/cirrhosis and R0 resection. However, the influence of immune checkpoint inhibitors (ICIs) on liver regeneration remains unknown. We report two patients diagnosed with Barcelona Clinic Liver Cancer (BCLC)-B stage hepatitis B virus (HBV)-related HCC who underwent pioneering ALPPS after immunotherapy without posthepatectomy liver failure (PHLF). ALPPS has been shown to be safe and feasible in patients with HCC who underwent immunotherapy previously for the first time and might provide an alternative salvage option for future conversion therapy of HCC."
20,13,13,Prognostic Evaluation of Conversion Therapy following Hepatic Arterial Infusion Chemotherapy or Immunotherapy in Patients with Advanced or Transarterial Chemoembolization Unsuitable Intermediate-Stage Hepatocellular Carcinoma: A Retrospective Cohort Study,"Kuo, LF; Liu, WC; Li, MF; Huang, FH; Chou, CK; Chen, TH; Tsai, YT; Hsu, PI; Li, CJ; Wu, IT; Tsai, KF",10.1159/000542291,"Introduction: Patients with advanced-stage or intermediate-stage hepatocellular carcinoma (HCC) unsuitable for transarterial chemoembolization (TACE) had poor prognoses. Recent advancements in hepatic arterial infusion chemotherapy (HAIC) and immune checkpoint inhibitors (ICIs) have demonstrated higher tumor response rates, which improved overall survival (OS). HAIC achieves an OS rate of approximately 14.5-15.3 months with a 39.1-42.5% tumor response rate. In comparison, ICIs have a 12-14 month OS rate with a 26-33% tumor response rate. Given these promising responses, this study evaluates the efficacy of conversion therapy with curative intent following HAIC or ICIs, focusing on survival outcomes. Methods: We retrospectively analyzed 80 patients with advanced or TACE-unsuitable intermediate HCC. Patients completed two HAIC or four ICI cycles, followed by Response Evaluation Criteria in Solid Tumors (RECIST) criteria imaging. Based on demographics, cirrhosis status, Barcelona Clinic Liver Cancer classification (BCLC) stage, treatment responses, and treatment modality, survival impacts were analyzed. OS was compared between HAIC and immunotherapy groups. The effect of conversion therapy with curative intent on survival outcomes was analyzed using a Cox regression model. Results: Among the 80 patients, 26 achieved positive response (CR/PR) with HAIC or ICIs, and 9 of them subsequently underwent conversion therapy with curative intent. Key prognostic factors included Child-Pugh stage B versus A (HR = 2.21, p = 0.041), BCLC stage C versus B (HR = 4.38, p = 0.011), and elevated alpha-fetoprotein levels (HR = 5.02, p < 0.001). Positive responders saw substantial survival benefits (HR = 0.26, p = 0.001). Patients undergoing conversion therapy exhibited significantly enhanced survival. Median OS was 13.58 months with standard therapy, while the curative intent surgery group did not reach the median OS (p = 0.002). For CR/PR patients, 48-month survival was 75.0% for the curative surgery group versus 38.0% for standard treatment. Conclusion: Conversion therapy with curative intent following HAIC or ICIs might enhance survival in patients with advanced or TACE-unsuitable intermediate-stage HCC."
21,13,229,Prognostic Evaluation of Conversion Therapy following Hepatic Arterial Infusion Chemotherapy or Immunotherapy in Patients with Advanced or Transarterial Chemoembolization Unsuitable Intermediate-Stage Hepatocellular Carcinoma: A Retrospective Cohort Study.,Kuo LF; Liu WC; Li MF; Huang FH; Chou CK; Chen TH; Tsai YT; Hsu PI; Li CJ; Wu IT; Tsai KF,10.1159/000542291,"INTRODUCTION: Patients with advanced-stage or intermediate-stage hepatocellular carcinoma (HCC) unsuitable for transarterial chemoembolization (TACE) had poor prognoses. Recent advancements in hepatic arterial infusion chemotherapy (HAIC) and immune checkpoint inhibitors (ICIs) have demonstrated higher tumor response rates, which improved overall survival (OS). HAIC achieves an OS rate of approximately 14.5-15.3 months with a 39.1-42.5% tumor response rate. In comparison, ICIs have a 12-14 month OS rate with a 26-33% tumor response rate. Given these promising responses, this study evaluates the efficacy of conversion therapy with curative intent following HAIC or ICIs, focusing on survival outcomes. METHODS: We retrospectively analyzed 80 patients with advanced or TACE-unsuitable intermediate HCC. Patients completed two HAIC or four ICI cycles, followed by Response Evaluation Criteria in Solid Tumors (RECIST) criteria imaging. Based on demographics, cirrhosis status, Barcelona Clinic Liver Cancer classification (BCLC) stage, treatment responses, and treatment modality, survival impacts were analyzed. OS was compared between HAIC and immunotherapy groups. The effect of conversion therapy with curative intent on survival outcomes was analyzed using a Cox regression model. RESULTS: Among the 80 patients, 26 achieved positive response (CR/PR) with HAIC or ICIs, and 9 of them subsequently underwent conversion therapy with curative intent. Key prognostic factors included Child-Pugh stage B versus A (HR = 2.21, p = 0.041), BCLC stage C versus B (HR = 4.38, p = 0.011), and elevated alpha-fetoprotein levels (HR = 5.02, p < 0.001). Positive responders saw substantial survival benefits (HR = 0.26, p = 0.001). Patients undergoing conversion therapy exhibited significantly enhanced survival. Median OS was 13.58 months with standard therapy, while the curative intent surgery group did not reach the median OS (p = 0.002). For CR/PR patients, 48-month survival was 75.0% for the curative surgery group versus 38.0% for standard treatment. CONCLUSION: Conversion therapy with curative intent following HAIC or ICIs might enhance survival in patients with advanced or TACE-unsuitable intermediate-stage HCC."
