Index,Title,Abstract,DOI,Authors
10,A meta-analysis of comorbidities in COVID-19: Which diseases increase the susceptibility of SARS-CoV-2 infection?,"Comorbidities in COVID-19 patients often lead to more severe outcomes. The disease-specific molecular events, which may induce susceptibility to Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) infection, are being investigated. To assess this, we retrieved array-based gene expression datasets from patients of 30 frequently occurring acute, chronic, or infectious diseases. Comparative analyses of the datasets were performed after quantile normalization and log2 transformation. Among the 78 host genes prominently implicated in COVID-19 infection, ACE2 (receptor for SARS-CoV-2) was positively regulated in several cases, namely, leukemia, psoriasis, lung cancer, non-alcoholic fatty liver disease (NAFLD), breast cancer, and pulmonary arterial hypertension (PAH). FURIN was positively regulated in some cases, such as leukemia, psoriasis, NAFLD, lung cancer, and type II diabetes (T2D), while TMPRSS2 was positively regulated in only 3 cases, namely, leukemia, lung cancer, and T2D. Genes encoding various interferons, cytokines, chemokines, and mediators of JAK-STAT pathway were positively regulated in leukemia, NAFLD, and T2D cases. Among the 161 genes that are positively regulated in the lungs of COVID-19 patients, 99-111 genes in leukemia (including various studied subtypes), 77 genes in NAFLD, and 48 genes in psoriasis were also positively regulated. Because of the high similarity in gene expression patterns, the patients of leukemia, NAFLD, T2D, psoriasis, and PAH may need additional preventive care against acquiring SARS-CoV-2 infections. Further, two genes CARBONIC ANHYDRASE 11 (CA11) and CLUSTERIN (CLU) were positively regulated in the lungs of patients infected with either SARS-CoV-2, or SARSCoV or Middle East Respiratory Syndrome Coronavirus (MERS-CoV).",10.1016/j.compbiomed.2021.104219,"Singh, MK; Mobeen, A; Chandra, A; Joshi, S; Ramachandran, S"
11,Therapeutic potential of Phycocyanin in gastrointestinal cancers and related disorders,"Gastrointestinal cancer is the most fatal cancer worldwide. The etiology of gastrointestinal cancer has yet to be fully characterized. Alcohol consumption, obesity, tobacco, Helicobacter pylori and gastrointestinal disorders, including gastroesophageal reflux disease, gastric ulcer, colon polyps and non-alcoholic fatty liver disease are among the several risks factors for gastrointestinal cancers. Phycocyanin which is abundant in Spirulina. Phycocyanin, a member of phycobiliprotein family with intense blue color, is an anti-diabetic, neuroprotective, anti-oxidative, anti-inflammatory, and anticancer compound. Evidence exists supporting that phycocyanin has antitumor effects, exerting its pharmacological effects by targeting a variety of cellular and molecular processes, i.e., apoptosis, cell-cycle arrest, migration and Wnt/beta-catenin signaling. Phycocyanin has also been applied in treatment of several gastrointestinal disorders such as, gastric ulcer, ulcerative colitis and fatty liver that is known as a risk factor for progression to cancer. Herein, we summarize various cellular and molecular pathways that are affected by phycocyanin, its efficacy upon combined drug treatment, and the potential for nanotechnology in its gastrointestinal cancer therapy.",10.1007/s11033-024-09675-3,"Motamedzadeh, A; Rahmati-Dehkordi, F; Heydari, H; Behnam, M; Noshabad, FZR; Tamtaji, Z; Taheri, AT; Nabavizadeh, F; Aschner, M; Mirzaei, H; Tamtaji, OR"
12,Fatty liver index and development of lung cancer: a nationwide cohort study,"Background/Aims: This study aimed to evaluate the impact of steatotic liver disease severity on the cumulative incidence of lung cancer utilizing data from the Korea National Health Insurance Service (NHIS). Methods: This study examined the risk of lung cancer in the general population in conjunction with the incidence of steatotic liver disease. The study population consisted of 3,261,438 individuals aged 20 years or older who underwent a general health examination in 2009. Results: Individuals with fatty liver index (FLI) of 30-59 exhibited a 1.08-fold increased risk of lung cancer (95% CI: 1.04-1.11), while FLI >= 60 was associated with a 1.22-fold elevated risk of lung cancer (95% CI: 1.17-1.28) compared to those with FLI < 30. The risk varied with smoking status; in current smokers, the adjusted HR for the FLI 30-59 group was 1.05 (95% CI: 1.00-1.10), while that in the FLI >= 60 group was 1.11 (95% CI: 1.04-1.18). In never- or past-smokers, the adjusted HR for the FLI 30-59 group was 1.10, and that for the FLI >= 60 group was 1.31. Subgroup analysis revealed an incidence rate of 1.06 per 1,000 person-years in the consistently high FLI group compared to 1.15 in those with improved FLI. Improving FLI over time was associated with a 0.93-fold decrease in lung cancer risk. Conclusions: Our study demonstrated a correlational relationship between lung cancer incidence and the severity of steatotic liver disease as measured by FLI.",10.3904/kjim.2024.232,"Lim, J; Kim, B; Han, K; Lim, JU"
13,S-Adenosylmethionine: From the Discovery of Its Inhibition of Tumorigenesis to Its Use as a Therapeutic Agent,"Alterations of methionine cycle in steatohepatitis, cirrhosis, and hepatocellular carcinoma induce MAT1A decrease and MAT2A increase expressions with the consequent decrease of S-adenosyl-L-methionine (SAM). This causes non-alcoholic fatty liver disease (NAFLD). SAM administration antagonizes pathological conditions, including galactosamine, acetaminophen, and ethanol intoxications, characterized by decreased intracellular SAM. Positive therapeutic effects of SAM/vitamin E or SAM/ursodeoxycholic acid in animal models with NAFLD and intrahepatic cholestasis were not confirmed in humans. In in vitro experiments, SAM and betaine potentiate PegIFN-alpha-2a/2b plus ribavirin antiviral effects. SAM plus betaine improves early viral kinetics and increases interferon-stimulated gene expression in patients with viral hepatitis non-responders to pegIFN alpha/ribavirin. SAM prevents hepatic cirrhosis, induced by CCl4, inhibits experimental tumors growth and is proapoptotic for hepatocellular carcinoma and MCF-7 breast cancer cells. SAM plus Decitabine arrest cancer growth and potentiate doxorubicin effects on breast, head, and neck cancers. Furthermore, SAM enhances the antitumor effect of gemcitabine against pancreatic cancer cells, inhibits growth of human prostate cancer PC-3, colorectal cancer, and osteosarcoma LM-7 and MG-63 cell lines; increases genomic stability of SW480 cells. SAM reduces colorectal cancer progression and inhibits the proliferation of preneoplastic rat liver cells in vivo. The discrepancy between positive results of SAM treatment of experimental tumors and modest effects against human disease may depend on more advanced human disease stage at moment of diagnosis.",10.3390/cells11030409,"Pascale, RM; Simile, MM; Calvisi, DF; Feo, CF; Feo, F"
14,A Scientometric Study to a Critical Review on Promising Anticancer and Neuroprotective Compounds: Citrus Flavonoids,"Flavonoids derived from citrus plants are favored by phytomedicinal researchers due to their wide range of biological activities, and relevant studies have been sustained for 67 years (since the first paper published in 1955). In terms of a scientometric and critical review, the scientometrics of related papers, chemical structures, and pharmacological action of citrus flavonoids were comprehensively summarized. The modern pharmacological effects of citrus flavonoids are primarily focused on their anticancer activities (such as breast cancer, gastric cancer, lung cancer, and liver cancer), neuroprotective effects (such as anti-Alzheimer's disease, Parkinson's disease), and metabolic diseases. Furthermore, the therapeutic mechanism of cancers (including inducing apoptosis, inhibiting cell proliferation, and inhibiting cancer metastasis), neuroprotective effects (including antioxidant and anti-inflammatory), and metabolic diseases (such as non-alcoholic fatty liver disease, type 2 diabetes mellitus) were summarized and discussed. We anticipate that this review could provide an essential reference for anti-cancer and neuroprotective research of citrus flavonoids and provide researchers with a comprehensive understanding of citrus flavonoids.",10.3390/antiox12030669,"Qiu, MY; Wei, WL; Zhang, JQ; Wang, HZ; Bai, YX; Guo, DA"
15,Selective Estrogen Receptor Modulator-Associated Nonalcoholic Fatty Liver Disease Improved Survival in Patients With Breast Cancer <i>A Retrospective Cohort Analysis</i>,"Selective estrogen receptor modulator (SERM)-associated nonalcoholic fatty liver disease (NAFLD) might be related to treatment efficacy in patients with breast cancer because of circulating estrogen antagonism.The aim of the study was to investigate the relationship between NAFLD and survival outcomes in patients with breast cancer who were treated with tamoxifen or toremifene.This single-center, retrospective, cohort study included 785 eligible patients who received tamoxifen or toremifene, after curative resection for breast cancer, at the Sun Yat-sen University Cancer Center between January 2005 and December 2009. Data were extracted from patient medical records. All patients underwent abdominal ultrasonography, at least once, at baseline and at the annual follow-up. Patients who were diagnosed with NAFLD on ultrasonography were classified into the NAFLD or the non-NAFLD arm at the 3-year follow-up visit. Univariate and multivariate Cox regression analyses were conducted to evaluate any associations between NAFLD and disease-free survival (DFS) or overall survival (OS).One hundred fifty-eight patients were diagnosed with NAFLD. Patients who developed NAFLD had better DFS and OS compared with those who did not. Univariate analyses revealed that the 5-year DFS rates were 91.56% and 85.01% for the NAFLD and non-NAFLD arms, respectively (hazard ratio [HR], 0.59; 95% confidence interval [CI], 0.37-0.96; log-rank P=0.032). The 5-year OS rates were 96.64% and 93.31% for the NAFLD and non-NAFLD arms, respectively (HR, 0.39; 95% CI, 0.16-0.99; log-rank P=0.039). Multivariate analysis revealed that NAFLD was an independent prognostic factor for DFS, improving the DFS rate by 41% compared with that in the non-NAFLD arm (HR, 0.59; 95% CI, 0.36-0.96; P=0.033).SERM-associated NAFLD was independently associated with improved DFS and might be useful for predicting treatment responses in breast cancer patients treated with SERMs.",10.1097/MD.0000000000001718,"Zheng, QF; Xu, F; Nie, M; Xia, W; Qin, T; Qin, G; An, X; Xue, C; Peng, RJ; Yuan, ZY; Shi, YX; Wang, SS"
16,Recent progress of lysophosphatidylcholine acyltransferases in metabolic disease and cancer,"With the rapid development of the economy, the updating of different diseases, especially metabolic diseases and cancers, is increasingly rapid and the difficulty of curing diseases is becoming greater. Lysophosphatidylcholine acyltransferase (LPCAT) has been shown to be more likely to participate in the development of related diseases. In the present review, we mainly focused on progress of the role of LPCAT in metabolic diseases and cancers and wish to provide new points to prevent and treat metabolic diseases and cancers. Related research of LPCAT in metabolic diseases, inflammatory diseases, and cancers have been reviewed. LPCAT 1-4 have different roles in metabolic diseases, such as diabetes, hyperlipidemia, hyperglycemia, and nonalcoholic steatohepatitis. Furthermore, LPCAT1 has been an independent predictor of early tumor recurrence and represents a novel prognostic biomarker for hepatocellular carcinoma, gastric cancer, breast cancer, oral squamous cell carcinoma, prostate cancer, colorectal cancer, and clear cell renal cell carcinoma. LPCAT2 is recognized as a novel aggressive prostate cancer susceptibility gene, and LPCAT4 participates in the elevated expression of PC (16:0/16:1) in colorectal cancer. LPCATs will provide a foundation for potential novel therapeutic approaches and highlight the important role of phospholipid metabolism in the prevention and treatment of metabolic diseases and cancers.",,"Shi, CZ; Qiao, SX; Wang, SY; Wu, T; Ji, G"
17,Middle Mediastinal Mass Compressing the Pulmonary Trunk in a Patient With a History of Breast Cancer,"CASE PRESENTATION: A 61-year-old White woman, nonsmoker, was referred to Respirology for evaluation of small pulmonary nodules discovered incidentally on surveillance imaging 3 years after breast cancer treatment. She had a remote left breast ductal carcinoma in situ treated with lumpectomy followed by radiation therapy, and recurrent stage 1 breast cancer (estrogen receptor/progesterone receptor-positive, human epidermal growth factor receptor 2-negative) treated with mastectomy, axillary lymph node dissection, and reconstructive surgery, followed with adjuvant chemotherapy, radiation therapy, and letrozole maintenance. Her other medical conditions included compensated cirrhosis secondary to nonalcoholic fatty liver disease, type 2 diabetes, hypertension, OSA, restless legs syndrome, obesity, anxiety, and depression. She reported no dyspnea or constitutional symptoms.",10.1016/j.chest.2021.12.649,"Greggianin, C; Yasufuku, K; Tong, LC; Dhillon, G; Digby, GC"
18,Non-alcoholic fatty liver disease and colorectal cancer,"As a significant cause of cancer death worldwide, colorectal cancer (CRC) is still one of the most common cancers in the world. The most efficient strategies to reduce CRC incidence include identifying risk factors for CRC and performing a preventive colonoscopy in high-risk populations. Some well-established risk factors for CRC development include hereditary syndromes and inflammatory bowel disease. Of note, in recent years, attention has been given to new evidence indicating that more than 75%-95% of CRC occurs in individuals with little or no genetic risk. For these individuals, the risk for CRC is associated with their lifestyle and dietary factors, including central obesity, overweight and physical inactivity. Recently, evidence demonstrated a connection between non-alcoholic fatty liver disease (NAFLD) and CRC. Insulin resistance and metabolic syndrome (MetS) are common risks that NAFLD and colorectal neoplasms share. The incidence of NAFLD is increasing in parallel with an increasing prevalence of MetS and obesity. Consequently, the question arises: will the incidence of CRC increase together with this dramatic increase in obesity, MetS and ultimately NAFLD prevalence? Recent studies of adenomatous polyps, CRC and NAFLD are discussed in this manuscript.",10.1136/postgradmedj-2016-134383,"Mikolasevic, I; Orlic, L; Stimac, D; Hrstic, I; Jakopcic, I; Milic, S"
19,Impact of visceral obesity on infectious complications after resection for colorectal cancer: a retrospective cohort study,"Objectives To explore the impact of visceral obesity (VO) measured by preoperative abdominal computed tomography (CT) on postoperative infectious complications for colorectal cancer (CRC) patients and establish a predictive model. Methods Patients who underwent resection for colorectal cancer between January 2015 and January 2021 were enrolled in this study. All patients were measured for body mass index (BMI) and visceral fat area (VFA) preoperatively. Infectious complications were compared between the different groups according to BMI and VO categories. Univariate and multivariate logistic regression were used to analyze whether VO was an independent risk factor for postoperative infectious complications. According to the results of logistic regression, six machine learning approaches were used to establish predictive models and perform internal validation. The best-performing model was interpreted by the SHAPley Additive exPlanations value. Results Approximately 64.81% of 520 patients had VO. VO was significantly connected with postoperative infectious complications (P < 0.001), coronary heart disease (P = 0.004), cerebral infarction (P = 0.001), hypertension (P < 0.001), diabetes (P < 0.001), and fatty liver (P < 0.001). The rates of wound infection (P = 0.048), abdominal or pelvic infection (P = 0.006), and pneumonia (P = 0.008) increased obviously in patients with VO. Compared to the low BMI group, a high BMI was found to be significantly associated with hypertension (P=0.007), fatty liver (P<0.001), and a higher rate of postoperative infection (P=0.003). The results of logistic regression revealed that VO (OR = 2.01, 95% CI 1.17 similar to 3.48, P = 0.012), operation time >= 4 h (OR = 2.52, 95% CI 1.60 similar to 3.97, P < 0.001), smoking (OR = 2.04, 95% CI 1.16 similar to 3.59, P = 0.014), ostomy (OR = 1.65, 95% CI 1.04 similar to 2.61, P = 0.033), and chronic obstructive pulmonary disease (COPD) (OR = 2.23, 95% CI 1.09 similar to 4.57, P = 0.029) were independent risk factors. The light gradient boosting machine (LGBM) model displayed the largest area under the receiver operating characteristic curve (AUC) (0.74, 95% CI 0.68 similar to 0.81). Conclusions In this study, VO was superior to BMI in evaluating the influence of obesity on metabolic comorbidities and postoperative infectious complications in colorectal cancer patients.",10.1186/s12944-023-01890-4,"Zhai, WS; Yang, Y; Zhang, KY; Sun, L; Luo, M; Han, X; Wang, M; Wang, ZP; Gao, F"
20,Association between tamoxifen treatment and the development of different stages of nonalcoholic fatty liver disease among breast cancer patients,"Background/Purpose: For estrogen-receptor positive breast cancer cases, tamoxifen has been the most important adjuvant hormonal therapy for the purpose of reducing recurrence rates and prolonging disease free survival. However, several side effects have been noticed, and fatty liver is one of the most common side effects among them. Since fatty liver is a common problem in the general population, we wanted to examine the effects of tamoxifen under pre-existing fatty liver conditions and evaluate the prevalence of tamoxifen-related impaired liver function. Methods: We recruited breast cancer cases at ages 20-70 years and divided them into tamoxifen or control groups. Personal information was collected, and fasting blood tests and abdominal ultrasound were performed. The changes of fatty liver degree between the initial and follow-up ultrasound were divided into five categories. Results: Of the 406 enrolled participants, 266 were in the tamoxifen group and 140 were in the control group. The tamoxifen group had a higher risk of newly developed fatty liver [hazard ratio (HR) = 3.69; 95% confidence interval (CI) 1.67-8.13), lower rate of improved fatty liver (HR = 0.33; 95% CI 0.15-0.75), and higher rate of worsened fatty liver (HR = 2.11; 95% CI 1.02-4.35). Conclusion: The current study suggests that tamoxifen treatment is associated with the risk of fatty liver either by increasing the risk of newly developed fatty liver conditions or worsening previous fatty liver conditions, and even retarding fatty liver improvement. Copyright (C) 2015, Formosan Medical Association. Published by Elsevier Taiwan LLC.",10.1016/j.jfma.2015.05.006,"Pan, HJ; Chang, HT; Lee, CH"
