Index,A_P,A_I,A_C,A_O,A_S,A_Decision,A_Reason
30,patients with potentially resectable HCC,conversion therapy including an anti-PD-1 antibody,not specified,treatment response and liver function improvement,not specified,False,does not include a comparison group or randomized controlled trial design
31,a patient with unresectable HCC,treatment with atezolizumab plus bevacizumab,previous failed treatment with atezolizumab plus bevacizumab,treatment response and surgical outcomes,not specified,False,case report without comparison or randomized controlled trial
32,patients with advanced HCC,ICI-related therapy,not specified,not specified,review of clinical trials,False,"review article, no specific trial or comparison mentioned"
33,patients with unresectable HCC,TACE with TKIs and ICIs,TACE monotherapy or bigeminy therapy,conversion rates and survival rates,meta-analysis of studies,True,"meets PICOS criteria with population, intervention, comparison, outcome, and study design specified"
34,patients with locally advanced HCC,neoadjuvant therapy of TAT combined with Bev and ICIs,standard systemic therapy and direct surgery,overall survival and progression-free survival,clinical study,True,"meets PICOS criteria with population, intervention, comparison, outcome, and study design specified"
35,patients with advanced hepatocellular carcinoma,lenvatinib plus anti-PD-1 antibodies,not specified,conversion success rate and overall survival,"single-arm, phase II study",False,lacks a comparison group and is not a randomized controlled trial
36,patient with unresectable hepatocellular carcinoma,combination of anlotinib and sintilimab,not specified,downstaging to resectable disease,case report,False,not a randomized controlled trial and lacks comparison group
37,patients with giant hepatocellular carcinoma,HAIC combined with anti-PD-1 and TKI,not specified,successful surgical completion,case report,False,not a randomized controlled trial and lacks comparison group
38,patients with initially unresectable hepatocellular carcinoma,lenvatinib plus anti-PD-1 therapy,not specified,tumor response and tumor-free survival,retrospective analysis,False,lacks a comparison group and is not a randomized controlled trial
39,not specified,combination therapies using immune checkpoint inhibitors,not specified,downstaging unresectable tumors,review article,False,not a study and lacks original research data
40,patients with hepatocellular carcinoma,atezolizumab plus bevacizumab therapy,not specified,treatment response and adverse effects,case report,False,not a randomized controlled trial and lacks comparison group
41,patients with initially unresectable hepatocellular carcinoma,"hepatectomy after conversion therapy with HAIC, TKIs, and anti-PD-1 antibodies",not specified,survival outcomes,retrospective analysis,False,not a randomized controlled trial and lacks comparison group
42,patients with hepatocellular carcinoma,atezolizumab plus bevacizumab combination therapy,not specified,objective response rate,review of a clinical trial,False,not a randomized controlled trial and lacks a defined comparison group
43,patients with initially unresectable hepatocellular carcinoma,lenvatinib plus anti-PD-1 antibody,not specified,criteria for resectability and survival outcomes,retrospective cohort study,False,not a randomized controlled trial and lacks direct comparison
44,patients with initially unresectable hepatocellular carcinoma,"triple combination therapy with angiogenesis inhibitors, PD-1 inhibitors, and HAIC",not specified,surgical conversion rates and response rates,single-arm study,False,not a randomized controlled trial and lacks comparison group
45,not specified,not specified,not specified,not specified,not specified,False,"Does not meet PICOS criteria; no relevant information on intervention, comparison, outcome, or study design."
46,patients with advanced hepatocellular carcinoma,atezolizumab and bevacizumab treatment,not specified,1-year and 3-year post-LT survival rates,prospective study,False,No comparison group specified; does not fit the PICOS criteria fully.
47,patients receiving pre-LT ICI therapy,pre-LT immune checkpoint inhibitors therapy,not specified,post-LT mortality,multicenter retrospective cohort study,False,No specific comparison to a control or placebo group; does not meet PICOS criteria.
48,patients with unresectable hepatocellular carcinoma,TACE plus immune checkpoint inhibitors,not specified,successful radical resection,case report,False,Case report format does not fulfill randomized controlled trial requirement; lacks comparison group.
49,patients with hepatocellular carcinoma,not specified,not specified,not specified,review article,False,"Review article; does not provide specific intervention, comparison, or outcomes related to PICOS criteria."
50,patients with hepatocellular carcinoma,Immune Checkpoint Inhibitors prior to liver transplantation,not specified,success in downstaging tumors for transplantation,retrospective cohort study,False,does not have a comparison group or randomized design
51,77-year-old man with unresectable HCC,atezolizumab and bevacizumab treatment,not specified,conversion to curative hepatic resection,case report,False,not a randomized controlled trial and lacks a comparison group
52,patients with recurrent hepatocellular carcinoma,PD-1 inhibitor tislelizumab as adjuvant therapy,not specified,recurrence-free survival time,case report,False,not a randomized controlled trial and lacks a comparison group
53,patients with untreated unresectable HCC,FOLFOX-HAIC combined with targeted immunotherapy,not specified,objective response rate and survival outcomes,not specified,False,not a randomized controlled trial and lacks a comparison group
54,Mayo Clinic patients with hepatocellular carcinoma,CPIT for downstaging HCC,not specified,successful liver transplantation without tumor recurrence,retrospective chart review,False,does not have a comparison group or randomized design
55,patients with advanced hepatocellular carcinoma,"combination of radiotherapy, pembrolizumab, and bevacizumab",not specified,objective response rates and overall survival,retrospective observational study,False,does not meet study design criteria (not a randomized controlled trial)
56,patients with unresectable hepatocellular carcinoma,atezolizumab plus bevacizumab therapy,not specified,progression-free and overall survival,retrospective study,False,does not meet study design criteria (not a randomized controlled trial)
57,not specified,combination of immunotherapy and radiotherapy,not specified,not specified,not specified,False,not specific to a clinical trial or population meeting PICOS criteria
58,patients with advanced unresectable hepatocellular carcinoma,atezolizumab and bevacizumab,sorafenib,survival rates,review article,False,does not meet study design criteria (not a randomized controlled trial)
59,patients with hepatocellular carcinoma,pre-liver transplant immunotherapy,not specified,not specified,literature review,False,does not meet study design criteria (not a randomized controlled trial)
60,patients with hepatocellular carcinoma,PD-1/PD-L1 inhibitors as immune checkpoint inhibitors,not specified,not specified,not specified,False,does not provide a comparison or specified outcomes or study design
62,a patient with unresectable hepatocellular carcinoma,TACE plus tislelizumab (an ICI),not specified,complete radiological response and tumor necrosis,not specified,False,does not mention a randomized controlled trial or provide a comparison
63,patients with advanced hepatocellular carcinoma,atezolizumab plus bevacizumab,not specified,increased objective response rate,"retrospective evaluation, not a randomized controlled trial",False,lacks a comparison and randomized controlled trial design
61,not applicable,not applicable,not applicable,not applicable,not applicable,False,Abstract too short or empty
64,not applicable,not applicable,not applicable,not applicable,not applicable,False,Abstract too short or empty
65,patients with hepatocellular carcinoma,not specified,not specified,not specified,review,False,does not describe a clinical trial
66,a 63-year-old male with locally advanced hepatocellular carcinoma,immune checkpoint inhibitor atezolizumab and anti-VEGF bevacizumab,not specified,downstaging to liver transplantation eligibility,case report,False,not a randomized controlled trial
67,15-year-old girl with fibrolamellar hepatocellular carcinoma,combination therapy of atezolizumab and bevacizumab,not specified,not specified,case report,False,not a randomized controlled trial
68,male in his 40s with hepatocellular carcinoma and cirrhosis,immunotherapy with atezolizumab and bevacizumab,not specified,HCV clearance,case study,False,not a randomized controlled trial
69,patients with unresectable hepatocellular carcinoma,lenvatinib-based treatment regimens with ICIs,comparison with other treatment modalities not specified,conversion rate and response rate,meta-analysis of multiple studies,False,does not provide data from a single randomized controlled trial
70,patients with hepatocellular carcinoma,immune checkpoint inhibitors as bridging therapy,not specified,not specified,literature-based review,False,does not provide a comparison or outcome data
71,patients with unresectable hepatocellular carcinoma,TACE combined with immune checkpoint inhibitors,palliative surgery without immunotherapy,improved prognosis and no recurrence,case report,False,not a randomized controlled trial
72,patients with hepatocellular carcinoma,systemic treatment including immune checkpoint inhibitors,not specified,improved posttransplant survival,review,False,does not provide specific comparison or data from trials
73,patients with advanced hepatocellular carcinoma,apatinib and camrelizumab combination therapy,not specified,no tumor recurrence or metastasis,case report,False,not a randomized controlled trial
74,not applicable,not applicable,not applicable,not applicable,not applicable,False,Abstract too short or empty
75,patients with hepatocellular carcinoma,immune checkpoint inhibitors and other therapies,not specified,improving overall survival outcomes,not specified,False,does not specify a comparison group or study design
76,patients with hepatocellular carcinoma,immune checkpoint inhibitors among other therapies,not specified,overall survival,not specified,False,lacks a defined comparison and study design
77,patients with unresectable hepatocellular carcinoma,triple therapy including anti-PD-1 antibodies,not specified,tumor response and conversion to resection,literature review,False,not a randomized controlled trial and lacks comparison
78,patients with hepatocellular carcinoma,neoadjuvant immunotherapy and combination therapies,not specified,tumor control prior to transplant,not specified,False,does not provide a comparison group or study design
79,patients with initially unresectable hepatocellular carcinoma and portal vein tumor thrombus,triple combination treatment including anti-PD-1 antibodies,comparison between salvage surgery and non-surgery groups,overall survival and progression-free survival,retrospective review,False,not a randomized controlled trial
81,patients with hepatocellular carcinoma and portal vein tumor thrombosis,conversion therapy with a tyrosine kinase inhibitor and anti-PD-1 antibody,surgery alone,recurrence-free survival rates,retrospective cohort study,False,not a randomized controlled trial
82,patients with hepatocellular carcinoma,immune checkpoint inhibitors,not specified,not specified,not specified,False,"no comparison, outcome, or study design specified"
83,a 23-year-old woman with fibrolamellar carcinoma,"5-FU, IFN alfa-2b, and nivolumab",not specified,partial and complete response,case report,False,not a randomized controlled trial and does not meet population criteria
80,not applicable,not applicable,not applicable,not applicable,not applicable,False,Abstract too short or empty
84,not applicable,not applicable,not applicable,not applicable,not applicable,False,Abstract too short or empty
85,patients with unresectable hepatocellular carcinoma (HCC),"salvage liver resection after conversion therapy with TACE, TKIs, and anti-PD-1",not specified,recurrence-free survival and overall survival rates,retrospective study,False,does not meet randomized controlled trial design requirement
86,advanced hepatocellular carcinoma (HCC) with extrahepatic metastasis,combination of sintilimab and sorafenib,not specified,long-term survival,case report,False,not a clinical trial and lacks comparison group
87,patients receiving PD1 inhibitors before liver transplantation for HCC,PD1 inhibitor as bridging therapy,not specified,safety and feasibility of treatment,retrospective review,False,not a randomized controlled trial and lacks survival rate outcomes
88,patients with initially unresectable hepatocellular carcinoma (uHCC),"triple therapy with TACE, lenvatinib, and anti-PD-1 antibodies",not specified,overall survival and recurrence-free survival rates,not specified,False,does not specify study design as randomized controlled trial
89,not applicable,not applicable,not applicable,not applicable,not applicable,False,Abstract too short or empty
90,patients with unresectable hepatocellular carcinoma,sequential TACE and SBRT followed by avelumab,not specified,proportion of patients amenable to curative treatment,"single-arm, phase 2 trial",False,does not include a comparison group
91,patients with advanced hepatocellular carcinoma,immune checkpoint inhibitor therapy,not specified,not specified,not specified,False,lacks specific study design and outcomes
93,patients with advanced hepatocellular carcinoma,lenvatinib plus anti-PD-1 antibodies,not specified,overall response rate and survival,retrospective analysis,False,not a randomized controlled trial
94,patients with hepatocellular carcinoma with PVTT,radiotherapy with antiangiogenic drugs and ICIs,not specified,sensitivity of PVTT to treatment,not specified,False,lacks comparison group and study design
92,not applicable,not applicable,not applicable,not applicable,not applicable,False,Abstract too short or empty
95,patients with hepatocellular carcinoma,immune checkpoint inhibitors-based systemic therapies,not specified,overall survival and recurrence-free survival rates,retrospective study,False,not a randomized controlled trial
96,patients with initially unresectable hepatocellular carcinoma,triple therapy including anti-PD-1 antibodies,salvage surgery vs non-surgery,overall survival and progression-free survival rates,not specified,False,not a randomized controlled trial
97,patients with initially unresectable hepatocellular carcinoma,conversion therapy,not specified,not specified,not specified,False,not specified and not a randomized controlled trial
98,Child-Pugh A hepatocellular carcinoma patients,Atezolizumab-Bevacizumab with SIRT,SIRT alone,overall survival and progression-free survival outcomes,not specified,False,not a randomized controlled trial
99,patients with advanced hepatocellular carcinoma,immune checkpoint inhibitors with TACE,TACE plus ICI vs ICI monotherapy,overall survival and progression-free survival rates,retrospective analysis with propensity score matching,False,not a randomized controlled trial
100,patients with unresectable hepatocellular carcinoma,tyrosine kinase inhibitor plus anti-PD-1 therapy,not specified,radiographic response and pathologic complete response,retrospective study,False,does not meet study design criteria; not a randomized controlled trial
101,patients with hepatocellular carcinoma,immunotherapy,not specified,not specified,review article,False,does not meet study design criteria; not a randomized controlled trial
102,patients with advanced hepatocellular carcinoma,SBRT and immune-checkpoint inhibitors,first-line recommended therapies,local tumor control and efficacy,not specified,False,does not meet study design criteria; not a randomized controlled trial
103,patients with hepatocellular carcinoma receiving IAT,immune checkpoint inhibitors,not specified,prognostic risk stratification,not specified,False,does not meet study design criteria; not a randomized controlled trial
104,patients with hepatocellular carcinoma and PVTT,lenvatinib combined with anti-PD-1 antibodies and TACE,not specified,overall survival and response rates,retrospective multicenter study,False,does not meet study design criteria; not a randomized controlled trial
105,patients with hepatocellular carcinoma,not specified,not specified,not specified,not specified,False,does not specify intervention or comparison
106,patients with early-stage HCC,adjuvant atezolizumab plus bevacizumab,not specified or other treatments,recurrence-free survival,not specified,False,not a randomized controlled trial
107,patients with unresectable hepatocellular carcinoma,atezolizumab and bevacizumab,comparison of conversion therapy outcomes,overall response rate and survival,retrospective multicentre study,False,not a randomized controlled trial
108,not applicable,not applicable,not applicable,not applicable,not applicable,False,Abstract too short or empty
109,not applicable,not applicable,not applicable,not applicable,not applicable,False,Abstract too short or empty
110,patients with unresectable hepatocellular carcinoma,"triple combination therapy of lenvatinib, TACE, and immunotherapy",dual combination therapy of lenvatinib and TACE,higher overall response rates and conversion rates,not specified,False,study design is not a randomized controlled trial
112,patients with hepatocellular carcinoma,transarterial radioembolization with Yttrium-90,"not specified, comparison to other therapies mentioned",improved survival outcomes,not specified,False,study design is not a randomized controlled trial
113,patients with initially unresectable hepatocellular carcinoma,pembrolizumab-lenvatinib-TACE therapy,lenvatinib-TACE sequential therapy,overall survival and progression-free survival,retrospective study,False,study design is not a randomized controlled trial
114,patients with unresectable hepatocellular carcinoma,TKI and anti-PD-1 antibody-based regimens,not specified,recurrence-free survival,multicenter retrospective study,False,study design is not a randomized controlled trial
111,not applicable,not applicable,not applicable,not applicable,not applicable,False,Abstract too short or empty
115,patients with unresectable HCC,preoperative cabozantinib plus nivolumab,not specified,downstaging success and lack of disease recurrence,phase 1b study,False,does not include a comparison group or randomized controlled trial design
116,advanced HCC patients,immunotherapy,not specified,not specified,not specified,False,not a randomized controlled trial and lacks specific outcomes
117,patients with multiple HCCs,TKIs plus anti-PD-1 antibodies combined with TACE,not specified,high tumor response rate,not specified,False,not a randomized controlled trial and lacks a clear comparison group
118,patients with HCC and PVTT,not specified,"sorafenib monotherapy, TACE",survival improvement with combinations,narrative review,False,not a randomized controlled trial and primarily a review article
119,patients with intermediate stage HCC,TACE,not specified,overall survival rates,systematic review,False,not a randomized controlled trial and focuses on TACE
120,patients with hepatocellular carcinoma,immune checkpoint inhibitors and tyrosine kinase inhibitors,not specified,not specified,not specified,False,does not mention a randomized controlled trial or specific outcomes
121,patients with unresectable intermediate- and late-stage HCC,selective internal radiation therapy (SIRT),sorafenib,quality-adjusted life-years and life-years,cost-effectiveness analysis,False,not a randomized controlled trial
122,not specified,locoregional therapies and ICIs,not specified,not specified,not specified,False,not a randomized controlled trial and lacks specific details
123,a patient with intrahepatic cholangiocarcinoma,immuno-chemotherapy with PD-1 inhibitors,not specified,tumor shrinkage and resectability,case report,False,not related to hepatocellular carcinoma and not a randomized controlled trial
124,patients with unresectable hepatocellular carcinoma,SIRT followed by nivolumab,not specified,"objective response rate, time to progression, overall survival",single-arm phase 2 trial,False,not a randomized controlled trial
125,patients with hepatocellular carcinoma,not specified,not specified,not specified,not specified,False,"does not specify intervention, comparison, or outcome details"
126,patients with locally advanced hepatocellular cancer and portal vein tumor thrombosis,not specified,not specified,not specified,not specified,False,"does not specify intervention, comparison, or outcome details"
127,patients with unresectable hepatocellular carcinoma,DEB-TACE combined with lenvatinib and PD-1 inhibitors,not specified,objective response rate and progression-free survival,retrospective study,False,not a randomized controlled trial
128,not specified,nivolumab for cancer downstaging,not specified,not specified,case report,False,not a randomized controlled trial and lacks detailed comparison and outcome
129,patients with unresectable tumors,immune checkpoint inhibitors in neoadjuvant settings,not specified,not specified,commentary,False,not a randomized controlled trial and lacks detailed comparison and outcome
130,patients with hepatocellular carcinoma,immune checkpoint inhibitor combinations,not specified,improved survival and response rates,not specified,False,does not describe a study design or comparison group
131,patients with hepatocellular carcinoma,atezolizumab and bevacizumab combination,compared to sorafenib,overall survival benefit,Phase III trial,True,matches all PICOS criteria
132,adult patients with unresectable HCC,lenvatinib plus anti-PD-1 antibodies,not specified,conversion success rate and overall survival,"single-arm, phase II study",False,not a randomized controlled trial
133,hepatocellular carcinoma patients,pre-LT ICI therapy,not specified,allograft rejection and survival,"multicenter, retrospective cohort study",False,not a randomized controlled trial
134,patients with hepatocellular carcinoma,not specified,not specified,not specified,not specified,False,"does not specify intervention, comparison, outcome, or study design"
135,patients with hepatocellular carcinoma,immune checkpoint inhibitors,not specified,response rate,not specified,False,does not specify a comparison or study design
136,advanced hepatocellular carcinoma patients,combination of immunotherapies,not specified,survival benefits,not specified,False,does not specify a comparison or study design
137,patients with advanced hepatocellular carcinoma,immune checkpoint inhibitors,not specified,response rates,not specified,False,does not specify a comparison or study design
138,patients with initially unresectable hepatocellular carcinoma,various conversion therapies including ICIs,systemic treatment alone,overall survival and progression-free survival,systematic literature review,False,not a randomized controlled trial
139,patients with hepatocellular carcinoma,not specified,not specified,not specified,not specified,False,"does not specify intervention, comparison, outcome, or study design"
140,patients with hepatocellular carcinoma,immune checkpoint inhibitors as bridging or down-staging therapies,not specified,response rates and graft rejection,not specified,False,does not specify a comparison group or study design
141,patients with unresectable hepatocellular carcinoma,atezolizumab and bevacizumab,sorafenib,overall survival and tumor response,Phase III randomized controlled trial,True,matches all PICOS criteria
142,patients with initially unresectable hepatocellular carcinoma,triple combination therapy including immune checkpoint inhibitors,pure hepatectomy,overall survival and recurrence-free survival,retrospective study with propensity score matching,False,not a randomized controlled trial
143,patients with hepatocellular carcinoma,immune checkpoint inhibitors prior to liver transplantation,not specified,5-year survival rates and safety outcomes,not specified,False,does not specify a comparison group or study design
144,patients with hepatocellular carcinoma,immune checkpoint inhibitors in the peri-transplant setting,not specified,3-year survival rates and rejection rates,multicenter study,False,does not specify a comparison group or randomized controlled trial design
145,patients with hepatocellular carcinoma and extrahepatic metastases,combination of TKIs and anti-PD-1 antibodies,not specified,three patients achieved pathological complete response,not specified,False,does not meet the criteria for intervention (TKIs instead of ICIs)
146,patients undergoing liver transplantation for HCC,not specified,not specified,5-year survival rate less than 15%,survey study,False,does not focus on ICIs or compare with placebo
147,patients with hepatocellular carcinoma considered for resection or LT,atezolizumab-bevacizumab therapy,not specified,12 patients achieved complete or partial response,retrospective single-center study,False,"not a randomized controlled trial, lacks appropriate comparison"
148,patients with hepatocellular carcinoma and portal vein tumor thrombus,lenvatinib combined with anti-PD-1 antibodies and TACE,not specified,median OS greater than 24 months,retrospective multicenter study,False,"not a randomized controlled trial, lacks appropriate comparison"
149,patients with unresectable hepatocellular carcinoma,triple therapy including lenvatinib and anti-PD-1 antibodies,not specified,high rates of tumor response and conversion to resection,literature review,False,"not a randomized controlled trial, lacks appropriate comparison"
150,patient with massive HCC,tislelizumab (anti-PD-1 antibody),not specified,good treatment response,case report,False,does not meet RCT design criteria
151,patients with HCC and CLD,immune checkpoint inhibitors (ICI),not specified or comparison not detailed,promising downstaging results,literature review,False,does not specify an RCT or outcomes clearly
152,patients with unresectable HCC,LEN-based regimens including ICIs,LEN alone or LEN + LRT,"conversion rate, ORR, DCR",meta-analysis,False,not a randomized controlled trial
153,patients with unresectable HCC,TACE combined with ICIs and TKIs,TACE alone,overall survival and conversion rates,retrospective cohort study,False,not a randomized controlled trial
154,patients with advanced HCC,immune checkpoint inhibitors and anti-angiogenic therapy,not specified,improved survival and treatment consensus,consensus statement,False,does not present an RCT or specific outcomes
155,patients with hepatocellular carcinoma (HCC) and thrombosis,combination of targeted therapy and immune therapy,not specified,pathologic complete response,case report,False,does not meet the criteria for randomized controlled trial design
156,patients with advanced hepatocellular carcinoma (HCC),PD-1 inhibitor combined with FOLFOX-HAIC therapy,not specified,favorable outcome post-LT,case report,False,does not meet the criteria for randomized controlled trial design
157,patients with unresectable hepatocellular carcinoma (HCC),immunotherapy rechallenge with radioembolization,previous treatment with atezolizumab and bevacizumab,complete pathologic response,case report,False,does not meet the criteria for randomized controlled trial design
158,patients with unresectable hepatocellular carcinoma (HCC) of large tumors,combined SBRT and anti-PD-1 therapy,not specified,impressive tumor control,retrospective case series,False,does not meet the criteria for randomized controlled trial design
159,patients with advanced hepatocellular carcinoma (HCC),combination of immune checkpoint inhibitors and antiangiogenic targeted drugs,not specified,not specified,expert consensus,False,does not meet the criteria for randomized controlled trial design
160,not specified,combination of immune checkpoint inhibitors and anti-angiogenic targeted therapy,not specified,not specified,not specified,False,"does not provide sufficient details on population, comparison, outcomes, or study design"
161,patients with locally advanced hepatocellular carcinoma,"combination of transarterial therapy, bevacizumab, and immune checkpoint inhibitors",direct surgery and standard systemic therapy,overall survival and progression free survival,not specified if randomized controlled trial,False,"while it details population, intervention, comparison, and outcomes, it does not clearly state that it is a randomized controlled trial"
